,0,1,2,3,4,5,6,7,8,9
290,0.004993915557861328,0.006071329116821289,0.00599980354309082,0.00599980354309082,0.006005048751831055,0.00587773323059082,0.004999637603759766,0.004999876022338867,0.006001949310302734,0.005992412567138672
295,0.007000446319580078,0.006000518798828125,0.006000041961669922,0.0060122013092041016,0.006002187728881836,0.006004810333251953,0.005999565124511719,0.0059931278228759766,0.005000114440917969,0.0058896541595458984
300,0.005991697311401367,0.005936622619628906,0.005096435546875,0.005929470062255859,0.005997419357299805,0.007002115249633789,0.006628513336181641,0.006000041961669922,0.00629115104675293,0.0061533451080322266
305,0.005997896194458008,0.005961179733276367,0.006998777389526367,0.005888223648071289,0.005995035171508789,0.006999015808105469,0.006989002227783203,0.006995201110839844,0.0070002079010009766,0.0061185359954833984
310,0.0066525936126708984,0.006106376647949219,0.007288217544555664,0.006094694137573242,0.006997346878051758,0.006886005401611328,0.005999565124511719,0.0070040225982666016,0.0068988800048828125,0.007118940353393555
315,0.007514476776123047,0.006995439529418945,0.006094694137573242,0.007947921752929688,0.0060062408447265625,0.007627248764038086,0.007057905197143555,0.006892204284667969,0.007130861282348633,0.005898475646972656
320,0.006884574890136719,0.005999326705932617,0.006999492645263672,0.0070002079010009766,0.006994485855102539,0.007217884063720703,0.00699162483215332,0.007000446319580078,0.006971836090087891,0.006884336471557617
325,0.008012056350708008,0.007002115249633789,0.008112668991088867,0.006998538970947266,0.00699305534362793,0.00700831413269043,0.00699162483215332,0.0069942474365234375,0.006995439529418945,0.006941080093383789
330,0.006999492645263672,0.007013082504272461,0.00799703598022461,0.0070037841796875,0.007017612457275391,0.008007526397705078,0.0075418949127197266,0.007513284683227539,0.007395505905151367,0.007513523101806641
335,0.00755620002746582,0.00789189338684082,0.007006168365478516,0.008000612258911133,0.006988048553466797,0.00805044174194336,0.006891965866088867,0.007889270782470703,0.007745981216430664,0.008908271789550781
340,0.008999109268188477,0.007082700729370117,0.008008003234863281,0.008003473281860352,0.008005857467651367,0.007141828536987305,0.007999181747436523,0.008037805557250977,0.007014274597167969,0.007514238357543945
345,0.009000778198242188,0.00798654556274414,0.00799417495727539,0.007998466491699219,0.008002042770385742,0.007999420166015625,0.008997917175292969,0.009101390838623047,0.008888006210327148,0.008997440338134766
350,0.009134769439697266,0.008998394012451172,0.00801706314086914,0.008990049362182617,0.008235931396484375,0.009112119674682617,0.00851893424987793,0.00910639762878418,0.008881330490112305,0.008999347686767578
