,threshold,n_digits,mean_time,std_time
1794,144,160,0.0009530544281005501,0.00014713061021366203
1795,144,165,0.0010102272033690799,0.00044925785885166426
1796,144,170,0.00129106044769283,0.00047153145634400086
1797,144,175,0.00098221302032466,6.495204074540912e-05
1798,144,180,0.0013967990875243799,0.0005197532947390361
1799,144,185,0.00139915943145748,0.00051604477701745
1800,144,190,0.00139806270599361,0.000513577040715065
1801,144,195,0.00160126686096188,0.0005202564587329881
1802,144,200,0.00139865875244135,0.0005170220140441279
1803,144,205,0.00190722942352291,0.0003219361923297562
1804,144,210,0.00160119533538814,0.0005150267163720246
1805,144,215,0.0016990661621093298,0.0004824582190261083
1806,144,220,0.0019025325775145902,0.00031823070224427935
1807,144,225,0.0018909931182860998,0.0003151912091204795
1808,144,230,0.00206665992736811,0.0003053523668697236
1809,144,235,0.0021989822387695,0.0003917189570446557
1810,144,240,0.00211131572723384,0.00031420650665866135
1811,144,245,0.00221095085144038,0.00041569345994052557
1812,144,250,0.0021981716156005498,0.00042005442657255717
1813,148,10,0.0,0.0
1814,148,15,0.0,0.0
1815,148,20,0.0,0.0
1816,148,25,0.0,0.0
1817,148,30,0.0,0.0
1818,148,35,9.980201721191e-05,0.0003156016894689631
1819,148,40,0.00019984245300291997,0.0004213054228117292
1820,148,45,0.0,0.0
1821,148,50,0.00020024776458738998,0.00042215944847528433
1822,148,55,9.980201721191e-05,0.0003156016894689631
1823,148,60,0.0005043029785155899,0.0005316221909095672
1824,148,65,0.00020029544830321,0.00042226033353136755
1825,148,70,0.00040445327758787,0.0005222130249827672
1826,148,75,0.0009004592895507501,0.00031643852963803405
1827,148,80,0.00029966831207274,0.0004825646285649093
1828,148,85,0.00065264701843259,0.0005825774250550118
1829,148,90,0.00049874782562253,0.0005257369698176733
1830,148,95,0.00059881210327145,0.0005153979127514268
1831,148,100,0.0009028911590575599,0.00031726945188997207
1832,148,105,0.00089254379272457,0.00031395383217554815
1833,148,110,0.0007965326309203799,0.0004198209226169901
1834,148,115,0.00100302696228021,1.3665634956498711e-05
1835,148,120,0.0010983943939208399,0.00031334702394456585
1836,148,125,0.00100100040435786,1.1065436376100692e-05
1837,148,130,0.00119900703430169,0.000423717718195639
1838,148,135,0.00110037326812739,0.0003152415386202005
1839,148,140,0.0015001058578490698,0.0005268319163323767
1840,148,145,0.00139646530151362,0.0005145164611097176
1841,148,150,0.00099651813507075,6.2799150003806236e-06
1842,148,155,0.00100259780883783,1.1335292849897309e-05
1843,148,160,0.00100007057189935,4.942930771657983e-06
1844,148,165,0.0010023832321166398,5.2444747690647326e-05
1845,148,170,0.00102987289428705,7.283722927191047e-05
1846,148,175,0.0011767148971557101,0.0004218745214553756
1847,148,180,0.0013128519058227001,0.0004801530154518963
1848,148,185,0.00110580921173092,0.00028137038981455897
1849,148,190,0.0013963699340819899,0.0005287686905955244
1850,148,195,0.00132966041564936,0.0005097167425878378
1851,148,200,0.0015885114669799499,0.0005122932981883944
1852,148,205,0.0015006065368652001,0.0005288526569211906
1853,148,210,0.0017040967941283802,0.0004827764130997757
1854,148,215,0.00157196521759028,0.0005912622994237478
1855,148,220,0.00179638862609858,0.0004195413768722237
1856,148,225,0.0021114349365234,0.0007366121795936274
1857,148,230,0.00200152397155757,0.00047058441786261747
1858,148,235,0.00190906524658199,0.0003151749695624376
1859,148,240,0.00211608409881588,0.00032055592970662054
1860,148,245,0.0023923635482787703,0.0005078875626984685
1861,148,250,0.0022133827209472297,0.0004217860021398265
1862,152,10,0.0,0.0
1863,152,15,0.0,0.0
1864,152,20,0.0,0.0
1865,152,25,0.00010011196136474,0.0003165818189393572
1866,152,30,0.0,0.0
1867,152,35,9.982585906981999e-05,0.00031567708404360876
1868,152,40,0.00019774436950683,0.0004169072018301166
1869,152,45,0.0,0.0
1870,152,50,0.00030050277709959004,0.00048385651430550304
1871,152,55,0.00029940605163573,0.0004820921116376382
1872,152,60,0.00030140876770018,0.0004853190772795307
1873,152,65,0.00010001659393310001,0.0003162802406407744
1874,152,70,0.00070226192474362,0.00048467897156328875
1875,152,75,0.0004019260406494,0.000518993843289462
1876,152,80,0.00030024051666258003,0.00048347153417376107
1877,152,85,0.00079629421234126,0.0004197358381616596
1878,152,90,0.00069992542266842,0.0004830541119098361
1879,152,95,0.00059897899627683,0.0005155239818796135
1880,152,100,0.0006998538970946899,0.0004834390978352637
1881,152,105,0.00081026554107662,0.00042750745305632616
1882,152,110,0.00080885887145992,0.0004300639301655953
1883,152,115,0.0009994029998778799,5.06352268413777e-05
1884,152,120,0.00110590457916254,0.0003136312458526182
1885,152,125,0.00129823684692379,0.00048289250068209004
1886,152,130,0.00098876953124995,3.7138884155930736e-05
1887,152,135,0.00150456428527827,0.0005331422704431748
1888,152,140,0.00151102542877192,0.0005144796487035443
1889,152,145,0.0013710737228393,0.0005007738579885526
1890,152,150,0.0015989780426024897,0.0005129898077142718
